Species,X,Band_Code,n,Mean (SD),Range,Low Bin,Mid Bin
Pacific Wren (Troglodytes pacificus),R,PAWR,818,542 (531),6–1585,1,1
Pacific-slope Flycatcher (Empidonax difficilis),LDM,PSFL,596,336 (340),6–1190,1,1
Dark-eyed Junco (Junco hyemalis),SDM,DEJU,549,1192 (564),64–1908,1,1
Varied Thrush (Ixoreus naevius),SDM,VATH,517,749 (575),7–1670,1,1
Golden-crowned Kinglet (Regulus satrapa),R,GCKI,446,708 (597),9–1702,1,1
Chestnut-backed Chickadee (Parus rufescens),R,CBCH,437,533 (491),8–1602,1,1
American Robin (Turdus migratorius),SDM,AMRO,351,378 (536),5–1873,1,1
Pine Siskin (Carduelis pinus),R,PISI,234,1470 (394),100–1923,1,1
Red-breasted Nuthatch (Sitta canadensis),R,RBNU,194,1148 (562),66–1875,1,1
Hammond’s Flycatcher (Empidonax hammondii),LDM,HAFL,173,442 (365),58–1331,1,1
Hermit Thrush (Catharus guttatus),SDM,HETH,167,1352 (334),567–1889,0,1
Swainson’s Thrush (Catharus ustulatus),LDM,SWTH,151,139 (185),3–680,1,0
Red Crossbill (Loxia curvirostra),IRR,RECR,149,897 (649),30–1858,1,1
Warbling Vireo (Vireo gilvus),LDM,WAVI,126,293 (319),4–1169,1,1
Townsend’s Warbler (Dendroica townsendi),LDM,TOWA,122,457 (352),43–1602,1,1
Wilson’s Warbler (Wilsonia pusilla),LDM,WIWA,121,186 (262),3–934,1,0
Rufous Hummingbird (Selasphorus rufus),LDM,RUHU,119,654 (645),9–1694,1,1
Brown Creeper (Certhia americana),R,BRCR,116,475 (431),17–1394,1,1
Steller’s Jay (Cyanocitta stelleri),R,STJA,90,200 (279),6–1061,1,1
Sooty Grouse (Dendragapus fuliginosus),R,SOGR,78,846 (596),73–1875,1,1
Olive-sided Flycatcher (Contopus borealis),LDM,OSFL,73,1293 (470),224–1893,1,1
Northern Flicker (Colaptes auratus),R,NOFL,68,1232 (639),77–1913,1,1
Song Sparrow (Melospiza melodia),R,SOSP,66,236 (446),4–1527,1,1
Western Tanager (Piranga ludoviciana),LDM,WETA,65,227 (178),27–647,1,0
Canada Jay (Perisoreus canadensis),R,CAJA,64,1119 (502),39–1730,1,1
Black-throated Gray Warbler (Dendroica nigrescens),LDM,BTYW,61,159 (201),4–846,1,0
Hairy Woodpecker (Picoides villosus),,HAWO,46,301 (386),10–1419,1,1
Yellow-rumped Warbler (Dendroica coronata),LDM,YRWA,44,1545 (476),141–1897,1,1
Common Raven (Corvus corax),,CORA,44,248 (359),3–1125,1,1
American Pipit (Anthus rubescens),,AMPI,40,1774 (226),1423–2017,0,1
American Crow (Corvus brachyrhynchos),,AMCR,33,140 (220),3–880,1,1
Ruby-crowned Kinglet (Regulus calendula),,RCKI,30,1480 (187),1101–1785,0,1
Townsend’s Solitaire (Myadestes townsendi),,TOSO,30,1619 (143),1397–1900,0,1
Band-tailed Pigeon (Columba fasciata),,BTPI,25,349 (478),3–1396,1,1
Pileated Woodpecker (Dryocopus pileatus),R,PIWO,24,202 (144),35–514,1,0
Orange-crowned Warbler (Vermivora celata),,OCWA,22,107 (338),12–808,1,0
White-crowned Sparrow (Zonotrichia leucophrys),,WCSP,17,153 (85),58–257,1,0
Pine Grosbeak (Pinicola enucleator),,PIGR,16,1415 (181),1140–1727,0,0
Yellow Warbler (Dendroica petechia),,YEWA,15,437 (517),3–1411,1,1
Black-headed Grosbeak (Pheucticus melanocephalus),,BHGR,15,286 (211),31–723,1,0
Belted Kingfisher (Ceryle alcyon),,BEKI,15,102 (81),4–250,1,0
Common Yellowthroat (Geothlypis trichas),,COYE,12,37,3–60,1,0
MacGillivray’s Warbler (Oporornis tolmiei),,MGWA,10,261 (186),52–567,1,0
Horned Lark (Eremophila alpestris),,HOLA,10,1967 (41),1903–2014,0,0
Spotted Towhee (Pipilo maculatus),,SPTO,9,130 (127),34–352,1,0
Vaux’s Swift (Chaetura vauxi),,VASW,9,146 (167),7–452,1,0
American Dipper (Cinclus mexicanus),,AMDI,8,865 (633),231–1685,1,1
Bald Eagle (Haliaeetus leucocephalus),,BAEA,8,54 (33),7–102,1,0
Spotted Sandpiper (Actitis macularia),,SPSA,8,167 (165),34–471,1,0
Hutton’s Vireo (Vireo huttoni),,HUVI,8,70 (38),19–115,1,0
Black-capped Chickadee (Parus atricapillus),,BCCH,6,638 (735),12–1620,1,1
Chipping Sparrow (Spizella passerina),,CHSP,6,1516 (247),1161–1776,0,1
Downy Woodpecker (Picoides pubescens),,DOWO,5,163 (107),21–294,1,0
Cedar Waxwing (Bombycilla cedrorum),,CEDW,3,38 (26),11–58,1,0
Brown-headed Cowbird (Molothrus ater),,BHCO,3,81 (39),59–123,0,0
Evening Grosbeak (Coccothraustes vespertinus),IRR,EVGR,3,963 (664),279–1514,1,1
Ruffed Grouse (Bonasa umbellus),,RUGR,3,503 (462),230–996,1,0
Red-breasted Sapsucker (Sphyrapicus ruber),,RBSA,2,121 (159),14–227,1,0
Western Wood-Pewee (Contopus sordidulus),LDM,WEWP,1,29,n/a,1,0
