"","nhits","Band_Code"
"1",11218,"AMRO"
"2",21265,"BRCR"
"3",5924,"CAJA"
"4",361961,"CBCH"
"5",224873,"DEJU"
"6",18210,"EVGR"
"7",72305,"GCKI"
"8",44104,"HAFL"
"9",35868,"HETH"
"10",18266,"NOFL"
"11",45238,"OSFL"
"12",1037407,"PAWR"
"13",67538,"PISI"
"14",7223,"PIWO"
"15",1326447,"PSFL"
"16",693548,"RBNU"
"17",518952,"RECR"
"18",6,"RUHU"
"19",15691,"SOGR"
"20",69554,"STJA"
"21",4889,"SWTH"
"22",46882,"TOWA"
"23",451696,"VATH"
"24",2942,"WAVI"
"25",26567,"WETA"
"26",846,"WEWP"
"27",8046,"WIWA"
"28",2266,"YRWA"
