"","common_name","aou4"
"1","American Robin","amro"
"2","Brown Creeper","brcr"
"3","Black-throated Gray Warbler","btyw"
"4","Canada Jay","caja"
"5","Chestnut-backed Chickadee","cbch"
"6","Dark-eyed Junco","deju"
"7","Evening Grosbeak","evgr"
"8","Golden-crowned Kinglet","gcki"
"9","Hammond's Flycatcher","hafl"
"10","Hermit Thrush","heth"
"11","Northern Flicker","nofl"
"12","Olive-sided Flycatcher","osfl"
"13","Pacific Wren","pawr"
"14","Pine Siskin","pisi"
"15","Pileated Woodpecker","piwo"
"16","Pacific-slope Flycatcher","psfl"
"17","Red-breasted Nuthatch","rbnu"
"18","Red Crossbill","recr"
"19","Rufous Hummingbird","ruhu"
"20","Sooty Grouse","sogr"
"21","Steller's Jay","stja"
"22","Swainson's Thrush","swth"
"23","Townsend's Warbler","towa"
"24","Varied Thrush","vath"
"25","Warbling Vireo","wavi"
"26","Western Tanager","weta"
"27","Western Wood-Pewee","wewp"
"28","Wilson's Warbler","wiwa"
"29","Yellow-rumped Warbler","yrwa"
